company,date,close_price,volatility,debt_to_equity
AAPL,2020-03-31,154.63,0.018,0.92
AAPL,2020-06-30,154.63,0.012,0.93
AAPL,2020-09-30,154.63,0.018,0.92
AAPL,2020-12-31,154.63,0.018,0.92
AAPL,2021-03-31,156.32,0.018,1.23
AAPL,2021-06-30,156.32,0.018,1.23
AAPL,2021-09-30,154.63,0.018,0.92
AAPL,2021-12-31,154.63,0.018,0.85
AAPL,2022-03-31,156.32,0.018,1.23
AAPL,2022-06-30,154.63,0.018,0.92
AAPL,2022-09-30,154.63,0.018,0.92
AAPL,2022-12-31,154.63,0.018,0.92
AAPL,2023-03-31,156.32,0.018,1.23
AAPL,2023-06-30,156.32,0.018,1.23
AAPL,2023-09-30,156.32,0.018,1.23
AAPL,2023-12-31,154.63,0.018,0.85
AAPL,2024-03-31,156.32,0.018,1.23
AAPL,2024-06-30,156.32,0.018,1.23
AAPL,2024-09-30,156.32,0.018,1.23
AAPL,2024-12-31,154.63,0.018,0.92
AAPL,2025-03-31,154.63,0.018,0.85
AAPL,2025-06-30,156.32,0.018,1.23
MSFT,2020-03-31,245.67,0.07,1.25
MSFT,2020-06-30,240.56,0.06,1.25
MSFT,2020-09-30,240.56,0.06,1.25
MSFT,2020-12-31,245.67,0.07,1.25
MSFT,2021-03-31,245.67,0.06,1.25
MSFT,2021-06-30,240.56,0.06,1.35
MSFT,2021-09-30,240.56,0.06,1.25
MSFT,2021-12-31,240.56,0.06,1.35
MSFT,2022-03-31,240.56,0.06,1.25
MSFT,2022-06-30,245.67,0.07,1.25
MSFT,2022-09-30,240.56,0.06,1.25
MSFT,2022-12-31,245.67,0.07,1.25
MSFT,2023-03-31,245.67,0.07,1.25
MSFT,2023-06-30,245.67,0.07,1.25
MSFT,2023-09-30,245.67,0.07,1.25
MSFT,2023-12-31,245.67,0.07,1.25
MSFT,2024-03-31,245.67,0.07,1.25
MSFT,2024-06-30,245.67,0.07,1.25
MSFT,2024-09-30,245.67,0.07,1.25
MSFT,2024-12-31,245.67,0.07,1.25
MSFT,2025-03-31,245.67,0.07,1.25
MSFT,2025-06-30,240.56,0.06,1.35
XOM,2020-03-31,73.21,0.05,0.45
XOM,2020-06-30,73.21,0.05,0.45
XOM,2020-09-30,73.21,0.05,0.45
XOM,2020-12-31,73.21,0.05,0.45
XOM,2021-03-31,73.21,0.05,0.45
XOM,2021-06-30,73.21,0.05,0.45
XOM,2021-09-30,73.21,0.05,0.45
XOM,2021-12-31,73.21,0.05,0.45
XOM,2022-03-31,73.21,0.05,0.45
XOM,2022-06-30,73.21,0.05,0.45
XOM,2022-09-30,73.21,0.05,0.45
XOM,2022-12-31,73.21,0.05,0.45
XOM,2023-03-31,73.21,0.05,0.45
XOM,2023-06-30,73.21,0.05,0.45
XOM,2023-09-30,73.21,0.05,0.45
XOM,2023-12-31,73.21,0.05,0.45
XOM,2024-03-31,73.21,0.05,0.45
XOM,2024-06-30,73.21,0.05,0.45
XOM,2024-09-30,73.21,0.05,0.45
XOM,2024-12-31,73.21,0.05,0.45
XOM,2025-03-31,73.21,0.05,0.45
XOM,2025-06-30,73.21,0.05,0.45
JPM,2020-03-31,120.56,0.015,1.23
JPM,2020-06-30,121.53,0.06,1.35
JPM,2020-09-30,120.56,0.015,1.25
JPM,2020-12-31,120.56,0.015,1.25
JPM,2021-03-31,120.56,0.015,1.25
JPM,2021-06-30,120.56,0.06,1.25
JPM,2021-09-30,121.53,0.06,1.25
JPM,2021-12-31,121.53,0.06,1.25
